Product URL,Product Name,Product Price,Rating,Number of Reviews,ASIN,Description,Manufacturer
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1690300872&sprefix=ba%2Caps%2C283&sr=8-1,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),1199,4.0,"55,017",,,
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1690300872&sprefix=ba%2Caps%2C283&sr=8-2,Skybags Brat Black 46 Cms Casual Backpack,669,4.1,"5,211",,,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1690300872&sprefix=ba%2Caps%2C283&sr=8-3,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office,598,4.3,"11,877",,,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzQ3MzAwNjkyMDgyNzM0OjE2OTAzMDA4NzI6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTAyMjI4OTE3OTk4OjowOjo&url=%2Fuppercase-Backpack-2500EBP2-repellent-sustainable%2Fdp%2FB0BNVXG27V%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0BNVXG27V%26pd_rd_r%3Dd53137f7-4d62-4d15-ac53-25f8e0ef2d36%26pd_rd_w%3DS7cYU%26pd_rd_wg%3DzT0mu%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DETRPZNKV5RAD6YVGYFFE%26qid%3D1690300872%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,,1400,4.6,17,,,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzQ3MzAwNjkyMDgyNzM0OjE2OTAzMDA4NzI6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTAyMjI4OTE3OTk4OjowOjo&url=%2Fuppercase-Backpack-2500EBP2-repellent-sustainable%2Fdp%2FB0BNVXG27V%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0BNVXG27V%26pd_rd_r%3Dd53137f7-4d62-4d15-ac53-25f8e0ef2d36%26pd_rd_w%3DS7cYU%26pd_rd_wg%3DzT0mu%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DETRPZNKV5RAD6YVGYFFE%26qid%3D1690300872%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,,1400,4.6,17,B0BNVXG27V,,Visit the uppercase Store
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzQ3MzAwNjkyMDgyNzM0OjE2OTAzMDA4NzI6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDk3NTc5NTAxNzk4OjoxOjo&url=%2Fuppercase-ltrs-backpack-INVALID-DATA_red%2Fdp%2FB0B691HSL3%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0B691HSL3%26pd_rd_r%3Dd53137f7-4d62-4d15-ac53-25f8e0ef2d36%26pd_rd_w%3DS7cYU%26pd_rd_wg%3DzT0mu%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DETRPZNKV5RAD6YVGYFFE%26qid%3D1690300872%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-2-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,,1000,4.2,168,,,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzQ3MzAwNjkyMDgyNzM0OjE2OTAzMDA4NzI6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDk3NjEyMjMxODk4OjoyOjo&url=%2Fuppercase-resistant-sustainable-Rainproof-Detachable%2Fdp%2FB0BC48NDJP%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0BC48NDJP%26pd_rd_r%3Dd53137f7-4d62-4d15-ac53-25f8e0ef2d36%26pd_rd_w%3DS7cYU%26pd_rd_wg%3DzT0mu%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DETRPZNKV5RAD6YVGYFFE%26qid%3D1690300872%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-3-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,,1600,4.4,28,,,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzQ3MzAwNjkyMDgyNzM0OjE2OTAzMDA4NzI6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTYzMDU5ODA0MTk4OjozOjo&url=%2FWALKENT-Multifunction-Duo-Marketing-Waterproof%2Fdp%2FB0BJ986NTC%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0BJ986NTC%26pd_rd_r%3Dd53137f7-4d62-4d15-ac53-25f8e0ef2d36%26pd_rd_w%3DS7cYU%26pd_rd_wg%3DzT0mu%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DETRPZNKV5RAD6YVGYFFE%26qid%3D1690300872%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-4-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,,3029,4.6,19,B0BJ986NTC,,Visit the WALKENT Store
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzQ3MzAwNjkyMDgyNzM0OjE2OTAzMDA4NzI6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTY3MTg3NDQxMzk4Ojo0Ojo&url=%2FEUME-Alexis-Backpack-Resistance-15-6-inch%2Fdp%2FB0BN5DYQSK%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0BN5DYQSK%26pd_rd_r%3Dd53137f7-4d62-4d15-ac53-25f8e0ef2d36%26pd_rd_w%3DS7cYU%26pd_rd_wg%3DzT0mu%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DETRPZNKV5RAD6YVGYFFE%26qid%3D1690300872%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-5-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,,2199,4.0,134,,,
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690300872&sprefix=ba%2Caps%2C283&sr=8-4,Half Moon Large 37L Laptop,849,3.9,"3,247",,,
