Product URL,Product Name,Product Price,Rating,Number of reviews,ASIN,Product Description,Manufacturer
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-1,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),₹1199,4.0,55017,B07CJCGM1M,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : NoOuter Material: Polyester, Color: BlackWater Resistance: Water resistant , not WaterproofCapacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 CentimetersNumber of Wheels: 0, Number of compartments: 3Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date ofMesh pockets on both sides to accommodate your sipper or bottle and umbrellaMesh Padding on back & shoulder strap to provide comfort & better back support",Brand: American Tourister
https://www.amazon.in/gp/bestsellers/luggage/2917444031/ref=sr_bs_1_2917444031_1,Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1,5212,N/A,N/A,N/A
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-3,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office,₹598,4.3,11877,B084JGJ8PF,"<img alt=""SPN-UGL"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media/sc/3cc76ccd-b406-4cf5-8cfc-6b5f5540a3a4.__CR0,5,970,291_PT0_SX600_V1___.jpg"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""SPN-UGL"" src=""https://m.media-amazon.com/images/S/aplus-media/sc/3cc76ccd-b406-4cf5-8cfc-6b5f5540a3a4.__CR0,5,970,291_PT0_SX600_V1___.jpg""/></noscript>",Brand: Wesley
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-4,Half Moon Large 37L Laptop,₹849,3.9,3247,B09VCLZ3K4,"<img alt=""OS-HALF MOON LOGO"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/81cd1993-4f0f-474d-b1e1-764263403330.__CR0,0,600,180_PT0_SX600_V1___.png"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""OS-HALF MOON LOGO"" src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/81cd1993-4f0f-474d-b1e1-764263403330.__CR0,0,600,180_PT0_SX600_V1___.png""/></noscript>",Visit the Half Moon Store
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-5,Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop,₹649,3.9,16622,B085MHDJ93,"<img alt=""casual backpacks , bags for boys , office bag , laptop bag , college backpack"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media/sc/a8770742-000f-457c-80f7-183da3da8aa6.__CR0,19,1200,360_PT0_SX600_V1___.jpg"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""casual backpacks , bags for boys , office bag , laptop bag , college backpack"" src=""https://m.media-amazon.com/images/S/aplus-media/sc/a8770742-000f-457c-80f7-183da3da8aa6.__CR0,19,1200,360_PT0_SX600_V1___.jpg""/></noscript>",Visit the Half Moon Store
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-6,Half Moon Large 37L Laptop,₹849,3.9,3247,B0BJ32LQ6X,"<img alt=""casual backpacks , bags for boys , office bag , laptop bag , college backpack"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media/sc/a8770742-000f-457c-80f7-183da3da8aa6.__CR0,19,1200,360_PT0_SX600_V1___.jpg"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""casual backpacks , bags for boys , office bag , laptop bag , college backpack"" src=""https://m.media-amazon.com/images/S/aplus-media/sc/a8770742-000f-457c-80f7-183da3da8aa6.__CR0,19,1200,360_PT0_SX600_V1___.jpg""/></noscript>",Visit the Half Moon Store
https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_6_1375464031_1,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",₹1299,4.3,584,N/A,N/A,N/A
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-8,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop,₹987,4.4,5928,B07G4F6XFH,,Visit the Gear Store
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-9,Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),₹1125,4.4,5928,B075MK4TXP,"Outer Material: Polyester, Color: BlackWater Resistance: Water resistantCapacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks",Brand: Gear
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690306524&sprefix=ba%2Caps%2C283&sr=8-10,TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop,₹689,3.8,2327,B09QJ7ZF2Y,"<img alt=""true human"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/13cd0fa1-19bd-4cda-858b-07a36e2cc6f7.__CR0,0,600,180_PT0_SX600_V1___.jpg"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""true human"" src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/13cd0fa1-19bd-4cda-858b-07a36e2cc6f7.__CR0,0,600,180_PT0_SX600_V1___.jpg""/></noscript>",Visit the TRUE HUMAN Store
